The cumulative induced charge.
Time [ns],Total Prompt [fC],Total Delayed [fC], Total Charge [fC],Electron Prompt [fC],Electron Delayed [fC],Electron Charge [fC],Ion Prompt [fC],Ion Delayed [fC],Ion Charge [fC]
23.03510324935004761,-0.03136696222703179437,0,-0.03136696222703179437,-0.03064785287676616288,0,-0.03064785287676616288,-0.0007191093502655850934,0,-0.0007191093502655850934
24.08215339704777591,-0.03142663240638789851,0,-0.03142663240638789851,-0.03064785287676616288,0,-0.03064785287676616288,-0.0007787795296216944337,0,-0.0007787795296216944337
25.12920354474550777,-0.03148630258574400959,0,-0.03148630258574400959,-0.03064785287676616288,0,-0.03064785287676616288,-0.0008384497089778037739,0,-0.0008384497089778037739
26.17625369244323608,-0.03154597276510012066,0,-0.03154597276510012066,-0.03064785287676616288,0,-0.03064785287676616288,-0.0008981198883339131141,0,-0.0008981198883339131141
27.22330384014096438,-0.03160564294445623174,0,-0.03160564294445623174,-0.03064785287676616288,0,-0.03064785287676616288,-0.0009577900676900224543,0,-0.0009577900676900224543
28.27035398783869269,-0.03166531312381233587,0,-0.03166531312381233587,-0.03064785287676616288,0,-0.03064785287676616288,-0.001017460247046131794,0,-0.001017460247046131794
29.31740413553642455,-0.03172498330316844695,0,-0.03172498330316844695,-0.03064785287676616288,0,-0.03064785287676616288,-0.001077130426402241135,0,-0.001077130426402241135
30.36445428323415285,-0.03178465348252455802,0,-0.03178465348252455802,-0.03064785287676616288,0,-0.03064785287676616288,-0.001136800605758350475,0,-0.001136800605758350475
31.41150443093188116,-0.0318443236618806691,0,-0.0318443236618806691,-0.03064785287676616288,0,-0.03064785287676616288,-0.001196470785114459815,0,-0.001196470785114459815
32.45855457862960947,-0.03190399384123678017,0,-0.03190399384123678017,-0.03064785287676616288,0,-0.03064785287676616288,-0.001256140964470569372,0,-0.001256140964470569372
33.50560472632734133,-0.03196366402059288431,0,-0.03196366402059288431,-0.03064785287676616288,0,-0.03064785287676616288,-0.001315811143826678929,0,-0.001315811143826678929
34.55265487402507318,-0.03202333458142611611,0,-0.03202333458142611611,-0.03064785287676616288,0,-0.03064785287676616288,-0.001375481704659909429,0,-0.001375481704659909429
35.59970502172279794,-0.03208300712830097767,0,-0.03208300712830097767,-0.03064785287676616288,0,-0.03064785287676616288,-0.001435154251534768825,0,-0.001435154251534768825
36.6467551694205298,-0.03214267724977995511,0,-0.03214267724977995511,-0.03064785287676616288,0,-0.03064785287676616288,-0.001494824373013744524,0,-0.001494824373013744524
37.69380531711826166,-0.03220234261906101264,0,-0.03220234261906101264,-0.03064785287676616288,0,-0.03064785287676616288,-0.001554489742294806178,0,-0.001554489742294806178
